(('1331851430421016578_1611', 'emirasal', 'mehmetcandar'), 1.0)
(('1332947401842319368_1699', 'emirasal', 'alikoray'), 1.0)
(('1332245968218189831_1716', 'emirasal', 'orkhan'), 0.5714285714285714)
(('1331127943360294913_1740', 'emirasal', 'oteryaki'), 1.0)
(('1330062140263297025_1751', 'emirasal', 'gkantar'), 0.0)
(('1327156147351154688_1799', 'emirasal', 'ramonberke'), 0.5714285714285714)
(('1326813232833552385_1828', 'emirasal', 'alperenyildiz'), 0.5714285714285714)
(('1325830510615072769_1839', 'emirasal', 'alpercakar'), 1.0)
(('1324448904730071044_1857', 'emirasal', 'burakbatman'), -0.19999999999999996)
(('1323559604656181252_1883', 'emirasal', 'karakoc'), -0.2857142857142856)
(('1323559604656181252_1886', 'emirasal', 'tolgaaydin'), 0.5714285714285714)
(('1323154420926943236_1916', 'emirasal', 'alperenyildiz'), 1.0)
(('1322814065710944257_1928', 'emirasal', 'suedaseker'), 0.5714285714285714)
(('1322793976970334211_1945', 'emirasal', 'msamil'), 0.5714285714285714)
(('1322428087280291842_1977', 'emirasal', 'tahabayindir'), 0.5714285714285714)
(('1322196948036784129_2018', 'emirasal', 'zubeyir'), 1.0)
(('1322195324107169795_2026', 'emirasal', 'msamil'), 0.5714285714285714)
(('1322170510457921537_2045', 'emirasal', 'fethidenker'), 0.33333333333333337)
(('1321385342142959616_2061', 'emirasal', 'burakbatman'), 0.5714285714285714)
(('1313143045399941121_2087', 'emirasal', 'alisinal'), 1.0)
(('1310208046988177409_2101', 'emirasal', 'ramonberke'), 0.5714285714285714)
(('1309154290544660480_2116', 'emirasal', 'goktugmandaci'), nan)
(('1309131651750993926_2132', 'emirasal', 'karakoc'), 0.5714285714285714)
(('1327156147351154688_2154', 'emirasal', 'tolgaaydin'), 0.5714285714285714)
(('1322219615032877058_2220', 'emirasal', 'gkantar'), 1.0)
(('1329310007687581702_982', 'tahabayindir', 'karakoc'), 0.6666666666666667)
(('1323698961991913472_1033', 'tahabayindir', 'dogru'), 1.0)
